EpochNum,StartTime,EndTime,BinaryLabels,MulticlassLabels
0,2020-06-12 06:38:12,2020-06-12 06:38:17,-1.0,-1.0
1,2020-06-12 06:38:17,2020-06-12 06:38:22,1.0,1.0
2,2020-06-12 06:38:22,2020-06-12 06:38:27,1.0,1.0
3,2020-06-12 06:38:27,2020-06-12 06:38:32,1.0,1.0
4,2020-06-12 06:38:32,2020-06-12 06:38:37,1.0,1.0
5,2020-06-12 06:38:37,2020-06-12 06:38:42,1.0,1.0
6,2020-06-12 06:38:42,2020-06-12 06:38:47,1.0,1.0
7,2020-06-12 06:38:47,2020-06-12 06:38:52,1.0,1.0
8,2020-06-12 06:38:52,2020-06-12 06:38:57,1.0,1.0
9,2020-06-12 06:38:57,2020-06-12 06:39:02,1.0,1.0
10,2020-06-12 06:39:02,2020-06-12 06:39:07,1.0,1.0
11,2020-06-12 06:39:07,2020-06-12 06:39:12,1.0,1.0
12,2020-06-12 06:39:12,2020-06-12 06:39:17,1.0,1.0
13,2020-06-12 06:39:17,2020-06-12 06:39:22,1.0,1.0
14,2020-06-12 06:39:22,2020-06-12 06:39:27,1.0,1.0
15,2020-06-12 06:39:27,2020-06-12 06:39:32,1.0,1.0
16,2020-06-12 06:39:32,2020-06-12 06:39:37,1.0,1.0
17,2020-06-12 06:39:37,2020-06-12 06:39:42,1.0,1.0
18,2020-06-12 06:39:42,2020-06-12 06:39:47,1.0,1.0
19,2020-06-12 06:39:47,2020-06-12 06:39:52,1.0,1.0
20,2020-06-12 06:39:52,2020-06-12 06:39:57,1.0,1.0
21,2020-06-12 06:39:57,2020-06-12 06:40:02,1.0,1.0
22,2020-06-12 06:40:02,2020-06-12 06:40:07,1.0,1.0
23,2020-06-12 06:40:07,2020-06-12 06:40:12,1.0,1.0
24,2020-06-12 06:40:12,2020-06-12 06:40:17,1.0,1.0
25,2020-06-12 06:40:17,2020-06-12 06:40:22,1.0,1.0
26,2020-06-12 06:40:22,2020-06-12 06:40:27,1.0,1.0
27,2020-06-12 06:40:27,2020-06-12 06:40:32,1.0,1.0
28,2020-06-12 06:40:32,2020-06-12 06:40:37,1.0,1.0
29,2020-06-12 06:40:37,2020-06-12 06:40:42,1.0,1.0
30,2020-06-12 06:40:42,2020-06-12 06:40:47,1.0,1.0
31,2020-06-12 06:40:47,2020-06-12 06:40:52,-1.0,-1.0
32,2020-06-12 06:40:52,2020-06-12 06:40:57,1.0,1.0
33,2020-06-12 06:40:57,2020-06-12 06:41:02,1.0,1.0
34,2020-06-12 06:41:02,2020-06-12 06:41:07,1.0,1.0
35,2020-06-12 06:41:07,2020-06-12 06:41:12,1.0,1.0
36,2020-06-12 06:41:12,2020-06-12 06:41:17,1.0,1.0
37,2020-06-12 06:41:17,2020-06-12 06:41:22,-1.0,1.0
38,2020-06-12 06:41:22,2020-06-12 06:41:27,1.0,1.0
39,2020-06-12 06:41:27,2020-06-12 06:41:32,1.0,1.0
40,2020-06-12 06:41:32,2020-06-12 06:41:37,1.0,1.0
41,2020-06-12 06:41:37,2020-06-12 06:41:42,-1.0,1.0
42,2020-06-12 06:41:42,2020-06-12 06:41:47,1.0,1.0
43,2020-06-12 06:41:47,2020-06-12 06:41:52,1.0,1.0
44,2020-06-12 06:41:52,2020-06-12 06:41:57,1.0,1.0
45,2020-06-12 06:41:57,2020-06-12 06:42:02,1.0,1.0
46,2020-06-12 06:42:02,2020-06-12 06:42:07,1.0,1.0
47,2020-06-12 06:42:07,2020-06-12 06:42:12,1.0,1.0
48,2020-06-12 06:42:12,2020-06-12 06:42:17,1.0,1.0
49,2020-06-12 06:42:17,2020-06-12 06:42:22,1.0,1.0
50,2020-06-12 06:42:22,2020-06-12 06:42:27,1.0,1.0
51,2020-06-12 06:42:27,2020-06-12 06:42:32,1.0,1.0
52,2020-06-12 06:42:32,2020-06-12 06:42:37,1.0,1.0
53,2020-06-12 06:42:37,2020-06-12 06:42:42,1.0,1.0
54,2020-06-12 06:42:42,2020-06-12 06:42:47,1.0,1.0
55,2020-06-12 06:42:47,2020-06-12 06:42:52,1.0,1.0
56,2020-06-12 06:42:52,2020-06-12 06:42:57,1.0,1.0
57,2020-06-12 06:42:57,2020-06-12 06:43:02,1.0,1.0
58,2020-06-12 06:43:02,2020-06-12 06:43:07,1.0,1.0
59,2020-06-12 06:43:07,2020-06-12 06:43:12,1.0,1.0
60,2020-06-12 06:43:12,2020-06-12 06:43:17,1.0,1.0
61,2020-06-12 06:43:17,2020-06-12 06:43:22,-1.0,1.0
